estado,abrev,medianAge,uninsured,hhIncome,poverty,obesity,alcohol
Aguascalientes,AGS,25,13.1,59346,26.2,9.7,23.1
Baja California,BC,27,18.4,59178,23.3,18.3,13.1
Baja California Sur,BCS,27,14.1,68778,18.1,18.6,22.3
Campeche,CAM,27,12.2,47700,46.2,19.3,20.7
Coahuila,COA,27,14.6,55925,22.5,16.6,25.6
Colima,COL,27,12.5,52766,30.9,24.9,23.5
Chiapas,CHP,23,17.7,26510,76.4,11.4,10.8
Chihuahua,CHH,27,13.4,54030,26.3,13.9,27
Ciudad de Mexico,CMX,33,21.5,79085,30.6,12.2,13.7
Durango,DGO,25,16.5,43648,37.3,14.8,21.4
Guanajuato,GTO,25,15,46142,43.4,17.3,20
Guerrero,GRO,24,15.4,29334,66.5,8.9,15
Hidalgo,HGO,27,17.6,38783,43.8,13.2,14.5
Jalisco,JAL,26,19.2,60541,28.4,12.9,20.2
Mexico,MEX,27,21.3,48013,42.7,12,13.7
Michoacan,MIC,26,26,42653,46,13.6,15.6
Morelos,MOR,28,15.9,42973,50.8,13.9,18.3
Nayarit,NAY,26,16.3,48148,34.8,17.6,16.5
Nuevo Leon,NL,28,12.1,68959,14.5,15.9,21.8
Oaxaca,OAX,26,18.9,31592,66.4,13.8,12.5
Puebla,PUE,25,20.2,38975,58.9,8.5,10.6
Queretaro,QRO,26,14.3,61339,27.6,13.8,20.2
Quintana Roo,QR,26,19.2,56711,27.6,22.8,15.4
San Luis Potosi,SLP,26,10.5,46497,43.4,16.7,22.6
Sinaloa,SIN,27,14.6,55474,30.9,15.8,13.4
Sonora,SON,27,14.4,59883,28.2,22.2,22.7
Tabasco,TAB,26,15.2,39450,53.6,19.9,14.9
Tamaulipas,TAM,28,15.1,49150,35.1,16.9,16.4
Tlaxcala,TLX,26,16.7,40301,48.4,6.3,11.5
Veracruz,VER,28,21,32445,61.8,22.9,18.3
Yucatan,YUC,27,13.7,49879,40.8,19.1,25.6
Zacatecas,ZAC,26,13.1,37957,46.8,10.6,25.7
